bond_force_constant,bond_equil_value
5.70000000E+02,1.22900000E+00
4.90000000E+02,1.33500000E+00
4.34000000E+02,1.01000000E+00
4.81000000E+02,1.34000000E+00
3.40000000E+02,1.09000000E+00
3.37000000E+02,1.46300000E+00
3.40000000E+02,1.09000000E+00
3.10000000E+02,1.52600000E+00
3.40000000E+02,1.09000000E+00
3.10000000E+02,1.52600000E+00
3.17000000E+02,1.52200000E+00
4.34000000E+02,1.01000000E+00
3.67000000E+02,1.47100000E+00
3.40000000E+02,1.09000000E+00
3.37000000E+02,1.44900000E+00
3.37000000E+02,1.44900000E+00
6.56000000E+02,1.25000000E+00
3.17000000E+02,1.52200000E+00
4.34000000E+02,1.01000000E+00
3.67000000E+02,1.08000000E+00
4.69000000E+02,1.40000000E+00
3.17000000E+02,1.51000000E+00
1.66000000E+02,2.03800000E+00
2.27000000E+02,1.81000000E+00
5.53000000E+02,9.60000000E-01
4.50000000E+02,1.36400000E+00
4.69000000E+02,1.40900000E+00
3.20000000E+02,1.41000000E+00
3.40000000E+02,1.09000000E+00
3.67000000E+02,1.47100000E+00
5.53000000E+02,1.51360000E+00
5.53000000E+02,9.57200000E-01
